report_type,organization,platform,metric,target,date,dim1,dim2,value
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,B,,32
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,C,,33
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,A,,34
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,B,,35
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,C,,36
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,A,,37
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,B,,38
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,C,,39
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,A,,40
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,B,,41
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,C,,42
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,A,,43
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,B,,44
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,C,,45
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,A,,46
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,B,,47
Report type 1,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,C,,48
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2019-12-01,A,,49
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2019-12-01,B,,50
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2019-12-01,C,,51
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2020-01-01,A,,52
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2020-01-01,B,,53
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2020-01-01,C,,54
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2020-02-01,A,,55
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2020-02-01,B,,56
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2020-02-01,C,,57
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2020-03-01,A,,58
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2020-03-01,B,,59
Report type 1,Organization 1,Platform 1,Metric 2,Title 2,2020-03-01,C,,60
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2019-12-01,A,,61
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2019-12-01,B,,62
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2019-12-01,C,,63
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2020-01-01,A,,64
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2020-01-01,B,,65
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2020-01-01,C,,66
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2020-02-01,A,,67
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2020-02-01,B,,68
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2020-02-01,C,,69
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2020-03-01,A,,70
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2020-03-01,B,,71
Report type 1,Organization 1,Platform 1,Metric 2,Title 3,2020-03-01,C,,72
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2019-12-01,A,,73
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2019-12-01,B,,74
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2019-12-01,C,,75
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2020-01-01,A,,76
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2020-01-01,B,,77
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2020-01-01,C,,78
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2020-02-01,A,,79
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2020-02-01,B,,80
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2020-02-01,C,,81
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2020-03-01,A,,82
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2020-03-01,B,,83
Report type 1,Organization 1,Platform 1,Metric 3,Title 1,2020-03-01,C,,84
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2019-12-01,A,,85
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2019-12-01,B,,86
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2019-12-01,C,,87
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2020-01-01,A,,88
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2020-01-01,B,,89
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2020-01-01,C,,90
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2020-02-01,A,,91
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2020-02-01,B,,92
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2020-02-01,C,,93
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2020-03-01,A,,94
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2020-03-01,B,,95
Report type 1,Organization 1,Platform 1,Metric 3,Title 2,2020-03-01,C,,96
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2019-12-01,A,,97
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2019-12-01,B,,98
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2019-12-01,C,,99
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2020-01-01,A,,100
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2020-01-01,B,,101
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2020-01-01,C,,102
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2020-02-01,A,,103
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2020-02-01,B,,104
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2020-02-01,C,,105
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2020-03-01,A,,106
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2020-03-01,B,,107
Report type 1,Organization 1,Platform 1,Metric 3,Title 3,2020-03-01,C,,108
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2019-12-01,A,,109
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2019-12-01,B,,110
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2019-12-01,C,,111
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2020-01-01,A,,112
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2020-01-01,B,,113
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2020-01-01,C,,114
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2020-02-01,A,,115
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2020-02-01,B,,116
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2020-02-01,C,,117
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2020-03-01,A,,118
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2020-03-01,B,,119
Report type 1,Organization 1,Platform 2,Metric 1,Title 1,2020-03-01,C,,120
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2019-12-01,A,,121
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2019-12-01,B,,122
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2019-12-01,C,,123
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2020-01-01,A,,124
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2020-01-01,B,,125
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2020-01-01,C,,126
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2020-02-01,A,,127
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2020-02-01,B,,128
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2020-02-01,C,,129
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2020-03-01,A,,130
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2020-03-01,B,,131
Report type 1,Organization 1,Platform 2,Metric 1,Title 2,2020-03-01,C,,132
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2019-12-01,A,,133
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2019-12-01,B,,134
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2019-12-01,C,,135
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2020-01-01,A,,136
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2020-01-01,B,,137
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2020-01-01,C,,138
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2020-02-01,A,,139
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2020-02-01,B,,140
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2020-02-01,C,,141
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2020-03-01,A,,142
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2020-03-01,B,,143
Report type 1,Organization 1,Platform 2,Metric 1,Title 3,2020-03-01,C,,144
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2019-12-01,A,,145
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2019-12-01,B,,146
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2019-12-01,C,,147
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2020-01-01,A,,148
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2020-01-01,B,,149
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2020-01-01,C,,150
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2020-02-01,A,,151
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2020-02-01,B,,152
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2020-02-01,C,,153
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2020-03-01,A,,154
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2020-03-01,B,,155
Report type 1,Organization 1,Platform 2,Metric 2,Title 1,2020-03-01,C,,156
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2019-12-01,A,,157
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2019-12-01,B,,158
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2019-12-01,C,,159
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2020-01-01,A,,160
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2020-01-01,B,,161
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2020-01-01,C,,162
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2020-02-01,A,,163
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2020-02-01,B,,164
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2020-02-01,C,,165
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2020-03-01,A,,166
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2020-03-01,B,,167
Report type 1,Organization 1,Platform 2,Metric 2,Title 2,2020-03-01,C,,168
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2019-12-01,A,,169
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2019-12-01,B,,170
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2019-12-01,C,,171
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2020-01-01,A,,172
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2020-01-01,B,,173
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2020-01-01,C,,174
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2020-02-01,A,,175
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2020-02-01,B,,176
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2020-02-01,C,,177
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2020-03-01,A,,178
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2020-03-01,B,,179
Report type 1,Organization 1,Platform 2,Metric 2,Title 3,2020-03-01,C,,180
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2019-12-01,A,,181
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2019-12-01,B,,182
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2019-12-01,C,,183
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2020-01-01,A,,184
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2020-01-01,B,,185
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2020-01-01,C,,186
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2020-02-01,A,,187
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2020-02-01,B,,188
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2020-02-01,C,,189
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2020-03-01,A,,190
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2020-03-01,B,,191
Report type 1,Organization 1,Platform 2,Metric 3,Title 1,2020-03-01,C,,192
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2019-12-01,A,,193
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2019-12-01,B,,194
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2019-12-01,C,,195
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2020-01-01,A,,196
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2020-01-01,B,,197
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2020-01-01,C,,198
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2020-02-01,A,,199
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2020-02-01,B,,200
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2020-02-01,C,,201
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2020-03-01,A,,202
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2020-03-01,B,,203
Report type 1,Organization 1,Platform 2,Metric 3,Title 2,2020-03-01,C,,204
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2019-12-01,A,,205
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2019-12-01,B,,206
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2019-12-01,C,,207
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2020-01-01,A,,208
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2020-01-01,B,,209
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2020-01-01,C,,210
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2020-02-01,A,,211
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2020-02-01,B,,212
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2020-02-01,C,,213
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2020-03-01,A,,214
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2020-03-01,B,,215
Report type 1,Organization 1,Platform 2,Metric 3,Title 3,2020-03-01,C,,216
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2019-12-01,A,,217
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2019-12-01,B,,218
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2019-12-01,C,,219
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2020-01-01,A,,220
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2020-01-01,B,,221
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2020-01-01,C,,222
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2020-02-01,A,,223
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2020-02-01,B,,224
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2020-02-01,C,,225
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2020-03-01,A,,226
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2020-03-01,B,,227
Report type 1,Organization 1,Platform 3,Metric 1,Title 1,2020-03-01,C,,228
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2019-12-01,A,,229
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2019-12-01,B,,230
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2019-12-01,C,,231
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2020-01-01,A,,232
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2020-01-01,B,,233
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2020-01-01,C,,234
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2020-02-01,A,,235
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2020-02-01,B,,236
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2020-02-01,C,,237
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2020-03-01,A,,238
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2020-03-01,B,,239
Report type 1,Organization 1,Platform 3,Metric 1,Title 2,2020-03-01,C,,240
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2019-12-01,A,,241
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2019-12-01,B,,242
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2019-12-01,C,,243
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2020-01-01,A,,244
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2020-01-01,B,,245
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2020-01-01,C,,246
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2020-02-01,A,,247
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2020-02-01,B,,248
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2020-02-01,C,,249
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2020-03-01,A,,250
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2020-03-01,B,,251
Report type 1,Organization 1,Platform 3,Metric 1,Title 3,2020-03-01,C,,252
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2019-12-01,A,,253
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2019-12-01,B,,254
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2019-12-01,C,,255
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2020-01-01,A,,256
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2020-01-01,B,,257
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2020-01-01,C,,258
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2020-02-01,A,,259
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2020-02-01,B,,260
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2020-02-01,C,,261
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2020-03-01,A,,262
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2020-03-01,B,,263
Report type 1,Organization 1,Platform 3,Metric 2,Title 1,2020-03-01,C,,264
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2019-12-01,A,,265
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2019-12-01,B,,266
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2019-12-01,C,,267
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2020-01-01,A,,268
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2020-01-01,B,,269
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2020-01-01,C,,270
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2020-02-01,A,,271
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2020-02-01,B,,272
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2020-02-01,C,,273
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2020-03-01,A,,274
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2020-03-01,B,,275
Report type 1,Organization 1,Platform 3,Metric 2,Title 2,2020-03-01,C,,276
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2019-12-01,A,,277
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2019-12-01,B,,278
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2019-12-01,C,,279
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2020-01-01,A,,280
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2020-01-01,B,,281
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2020-01-01,C,,282
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2020-02-01,A,,283
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2020-02-01,B,,284
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2020-02-01,C,,285
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2020-03-01,A,,286
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2020-03-01,B,,287
Report type 1,Organization 1,Platform 3,Metric 2,Title 3,2020-03-01,C,,288
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2019-12-01,A,,289
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2019-12-01,B,,290
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2019-12-01,C,,291
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2020-01-01,A,,292
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2020-01-01,B,,293
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2020-01-01,C,,294
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2020-02-01,A,,295
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2020-02-01,B,,296
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2020-02-01,C,,297
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2020-03-01,A,,298
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2020-03-01,B,,299
Report type 1,Organization 1,Platform 3,Metric 3,Title 1,2020-03-01,C,,300
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2019-12-01,A,,301
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2019-12-01,B,,302
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2019-12-01,C,,303
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2020-01-01,A,,304
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2020-01-01,B,,305
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2020-01-01,C,,306
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2020-02-01,A,,307
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2020-02-01,B,,308
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2020-02-01,C,,309
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2020-03-01,A,,310
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2020-03-01,B,,311
Report type 1,Organization 1,Platform 3,Metric 3,Title 2,2020-03-01,C,,312
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2019-12-01,A,,313
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2019-12-01,B,,314
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2019-12-01,C,,315
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2020-01-01,A,,316
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2020-01-01,B,,317
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2020-01-01,C,,318
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2020-02-01,A,,319
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2020-02-01,B,,320
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2020-02-01,C,,321
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2020-03-01,A,,322
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2020-03-01,B,,323
Report type 1,Organization 1,Platform 3,Metric 3,Title 3,2020-03-01,C,,324
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2019-12-01,A,,325
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2019-12-01,B,,326
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2019-12-01,C,,327
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2020-01-01,A,,328
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2020-01-01,B,,329
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2020-01-01,C,,330
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2020-02-01,A,,331
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2020-02-01,B,,332
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2020-02-01,C,,333
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2020-03-01,A,,334
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2020-03-01,B,,335
Report type 1,Organization 2,Platform 1,Metric 1,Title 1,2020-03-01,C,,336
Report type 1,Organization 2,Platform 1,Metric 1,Title 2,2019-12-01,A,,337
Report type 1,Organization 2,Platform 1,Metric 1,Title 2,2019-12-01,B,,338
Report type 1,Organization 2,Platform 1,Metric 1,Title 2,2019-12-01,C,,339
Report type 1,Organization 2,Platform 1,Metric 1,Title 2,2020-01-01,A,,340
